customerid,invoicedate,days_inactive,churned
12346.0,2011-01-18 10:01:00,325,True
12347.0,2011-12-07 15:52:00,1,False
12348.0,2011-09-25 13:13:00,74,False
12349.0,2011-11-21 09:51:00,18,False
12350.0,2011-02-02 16:01:00,309,True
12351.0,2010-11-29 15:23:00,374,True
12352.0,2011-11-03 14:37:00,35,False
12353.0,2011-05-19 17:47:00,203,True
12354.0,2011-04-21 13:11:00,231,True
12355.0,2011-05-09 13:49:00,213,True
12356.0,2011-11-17 08:40:00,22,False
12357.0,2011-11-06 16:07:00,32,False
12358.0,2011-12-08 10:26:00,1,False
12359.0,2011-10-13 12:47:00,57,False
12360.0,2011-10-18 15:22:00,51,False
12361.0,2011-02-25 13:51:00,286,True
12362.0,2011-12-06 15:40:00,2,False
12363.0,2011-08-22 10:18:00,109,True
12364.0,2011-12-02 10:22:00,7,False
12365.0,2011-02-21 14:04:00,290,True
12366.0,2010-03-16 10:28:00,633,True
12367.0,2011-12-05 16:48:00,3,False
12368.0,2010-03-21 15:56:00,627,True
12369.0,2010-10-22 13:13:00,412,True
12370.0,2011-10-19 14:51:00,50,False
12371.0,2011-10-26 10:16:00,44,False
12372.0,2011-09-29 12:12:00,71,False
12373.0,2011-02-01 13:10:00,310,True
12374.0,2011-11-14 15:37:00,24,False
12375.0,2011-11-29 10:36:00,10,False
12376.0,2010-11-15 12:15:00,389,True
12377.0,2011-01-28 15:45:00,314,True
12378.0,2011-08-02 10:34:00,129,True
12379.0,2011-09-19 10:09:00,81,False
12380.0,2011-11-18 11:27:00,21,False
12381.0,2011-12-05 12:44:00,4,False
12383.0,2011-06-08 08:02:00,184,True
12384.0,2011-11-11 08:39:00,28,False
12385.0,2010-11-25 15:14:00,378,True
12386.0,2011-01-06 12:37:00,337,True
12387.0,2010-10-20 16:27:00,414,True
12388.0,2011-11-24 12:30:00,15,False
12389.0,2010-11-02 11:52:00,402,True
12390.0,2011-09-21 09:33:00,79,False
12391.0,2011-11-18 12:07:00,21,False
12392.0,2010-04-27 14:04:00,590,True
12393.0,2011-09-28 15:41:00,71,False
12394.0,2011-10-07 08:08:00,63,False
12395.0,2011-11-20 15:21:00,18,False
12396.0,2010-02-03 13:22:00,673,True
12397.0,2011-11-04 09:52:00,35,False
12398.0,2011-10-25 10:27:00,45,False
12399.0,2011-08-12 13:15:00,118,True
12400.0,2010-10-21 13:45:00,413,True
12401.0,2011-02-09 13:50:00,302,True
12402.0,2011-01-20 13:49:00,322,True
12403.0,2011-10-21 10:51:00,49,False
12404.0,2010-01-26 16:25:00,681,True
12405.0,2011-07-14 08:52:00,148,True
12406.0,2011-11-17 19:22:00,21,False
12407.0,2011-10-21 10:11:00,49,False
12408.0,2011-11-07 12:27:00,32,False
12409.0,2011-09-22 10:38:00,78,False
12410.0,2011-02-04 10:39:00,308,True
12411.0,2010-10-26 09:25:00,409,True
12412.0,2011-09-26 10:16:00,74,False
12413.0,2011-10-04 09:00:00,66,False
12414.0,2011-05-06 14:51:00,216,True
12415.0,2011-11-15 14:22:00,23,False
12416.0,2010-02-21 10:19:00,656,True
12417.0,2011-12-06 14:52:00,2,False
12418.0,2011-08-19 11:08:00,112,True
12419.0,2010-11-19 10:04:00,385,True
12420.0,2011-10-07 08:55:00,63,False
12421.0,2011-11-24 09:07:00,15,False
12422.0,2011-09-05 09:48:00,95,True
12423.0,2011-12-09 10:10:00,0,False
12424.0,2011-06-30 12:06:00,162,True
12425.0,2011-09-22 17:31:00,77,False
12426.0,2011-05-29 12:26:00,194,True
12427.0,2011-11-18 08:56:00,21,False
12428.0,2011-11-14 08:22:00,25,False
12429.0,2011-11-30 17:22:00,8,False
12430.0,2011-10-27 15:09:00,42,False
12431.0,2011-11-04 11:55:00,35,False
12432.0,2011-10-28 11:43:00,42,False
12433.0,2011-12-09 10:02:00,0,False
12434.0,2011-09-16 12:38:00,84,False
12435.0,2011-09-21 09:06:00,79,False
12436.0,2011-09-01 12:09:00,99,True
12437.0,2011-12-08 11:35:00,1,False
12438.0,2011-11-25 13:28:00,13,False
12439.0,2010-01-26 12:11:00,682,True
12440.0,2010-09-03 13:11:00,461,True
12441.0,2010-12-08 10:45:00,366,True
12442.0,2011-12-06 14:22:00,2,False
12443.0,2009-12-07 15:42:00,731,True
12444.0,2011-11-18 13:23:00,20,False
12445.0,2011-11-17 18:43:00,21,False
12446.0,2011-10-13 12:50:00,57,False
12447.0,2011-04-10 13:25:00,242,True
12448.0,2011-10-26 13:46:00,43,False
12449.0,2011-11-17 13:46:00,21,False
12450.0,2011-07-06 14:41:00,155,True
12451.0,2011-11-29 08:40:00,10,False
12452.0,2011-11-23 10:28:00,16,False
12453.0,2011-07-28 14:08:00,133,True
12454.0,2011-10-14 17:13:00,55,False
12455.0,2011-09-27 15:31:00,72,False
12456.0,2011-10-26 14:41:00,43,False
12457.0,2011-10-04 13:13:00,65,False
12458.0,2011-09-29 15:25:00,70,False
12459.0,2010-04-13 14:53:00,604,True
12460.0,2010-09-09 13:51:00,455,True
12461.0,2011-09-06 16:57:00,93,True
12462.0,2011-11-21 09:11:00,18,False
12463.0,2011-10-17 13:44:00,52,False
12464.0,2011-11-29 13:33:00,9,False
12465.0,2011-11-22 16:34:00,16,False
12466.0,2010-01-26 16:26:00,681,True
12467.0,2010-10-12 15:41:00,422,True
12468.0,2011-06-05 11:36:00,187,True
12469.0,2010-07-05 12:40:00,522,True
12470.0,2010-01-19 11:01:00,689,True
12471.0,2011-12-07 15:43:00,1,False
12472.0,2011-11-07 14:01:00,31,False
12473.0,2011-11-10 13:46:00,28,False
12474.0,2011-11-22 14:39:00,16,False
12475.0,2011-10-17 10:10:00,53,False
12476.0,2011-11-24 12:40:00,15,False
12477.0,2011-11-17 09:51:00,22,False
12478.0,2011-12-06 09:56:00,3,False
12479.0,2011-11-28 13:26:00,10,False
12480.0,2011-11-11 14:52:00,27,False
